1,4,2,1,1,1,1,1,1,1,1,1,0.498227672,-0.893325219,-7.53085549,-12.73517289,0
2,2,3,1,1,1,1,1,1,1,1,1,-5.234646901,-7.188066937,-7.53085549,-12.73517289,0
3,4,5,1,1,1,1,1,1,1,1,1,-1.40100685,-0.601301119,-7.53085549,-12.73517289,0
4,3,2,1,1,1,1,1,1,1,1,1,0.076175556,2.54606974,-7.53085549,-12.73517289,0
5,4,4,1,1,1,1,1,1,1,1,1,1.553357961,0.664136649,-7.53085549,-12.73517289,0
6,4,5,2,4,2,1,3,3,3,4,2,1.62369998,1.053502116,1.708290811,1.516656412,0
7,3,2,1,1,1,1,1,1,1,1,1,-0.134850502,0.437006794,-7.53085549,-12.73517289,0
8,6,3,1,1,1,1,1,1,1,1,1,-0.416218579,-1.704503276,-7.53085549,-12.73517289,0
9,5,4,1,1,1,1,1,1,1,1,1,1.271989884,0.177429815,-7.53085549,-12.73517289,0
10,4,4,1,1,1,1,1,1,1,1,1,2.327120173,1.085949239,-7.53085549,-12.73517289,0
11,3,3,1,1,1,1,1,1,1,1,1,0.67408272,1.280631972,-7.53085549,-12.73517289,0
12,4,3,1,1,1,1,1,1,1,1,1,-0.451389589,1.799785928,-7.53085549,-12.73517289,0
13,2,2,1,1,1,1,1,1,1,1,1,-5.234646901,-7.188066937,-7.53085549,-12.73517289,0
14,4,4,1,1,1,1,1,1,1,1,1,-1.189980792,0.339665427,-7.53085549,-12.73517289,0
15,2,2,1,1,1,1,1,1,1,1,1,-5.234646901,-7.188066937,-7.53085549,-12.73517289,0
16,4,5,2,5,4,5,5,3,3,3,3,0.498227672,0.891266505,1.07763236,1.47126842,0
17,5,4,1,1,1,1,1,1,1,1,1,-0.592073628,0.015194204,-7.53085549,-12.73517289,0
18,5,4,1,1,1,1,1,1,1,1,1,-0.627244637,-0.439065507,-7.53085549,-12.73517289,0
19,2,2,1,1,1,1,1,1,1,1,1,-5.234646901,-7.188066937,-7.53085549,-12.73517289,0
20,2,3,1,1,1,1,1,1,1,1,1,-5.234646901,-7.188066937,-7.53085549,-12.73517289,0
21,7,6,1,1,1,1,1,1,1,1,1,-1.893400985,-2.191210109,-7.53085549,-12.73517289,0
22,6,4,1,1,1,1,1,1,1,1,1,-1.963743004,-1.412479175,-7.53085549,-12.73517289,0
23,6,6,3,4,4,1,5,3,3,5,2,-0.662415647,-0.276829896,-0.719744224,-1.433563029,0
24,6,5,1,1,1,1,1,1,1,1,1,-1.36583584,-1.834291765,-7.53085549,-12.73517289,0
25,3,4,1,1,1,1,1,1,1,1,1,-1.189980792,-1.185349319,-7.53085549,-12.73517289,0
